Title	Sentence	Tag
RFE Investment Partners and 24/6 Capital Partners Acquire Aerospace Manufacturer SPX Precision Components LLC	"Industry veteran Alan (""Al"") Haase has been named Chief Executive Officer of PCX."	JOB
Woven Expands Editorial and Original Programming Capabilities: Acquires Leading Men's News & Entertainment Destination, UPROXX	In addition to the UPROXX acquisition, Woven is further bolstering its executive team by appointing Colin Digiaro as President.	JOB
UPDATE 2-Independents dominate in Telecom Italia board shake-up	Telefonica's head Cesar Alierta and Julio Linares, a former chief operating officer at the Spanish company, resigned from the Telecom Italia board in December.	JOB
UPDATE 1-Online retailers in Germany under fire over working conditions	Hundreds of workers walked off their jobs on Thursday at Amazon distribution centres in the German cities of Bad Hersfeld and Leipzig in a year-long pay dispute, and labour union Verdi warned that more walkouts were to follow.	JOB
FEATURE-Women edge into Gulf boardrooms as economies, societies shift	Last month Saudi Arabia's NCB Capital, a unit of the country's biggest bank, said it had appointed Sarah Al-Suhaimi as chief executive - the first woman to head an investment bank in the kingdom.	JOB
Barclays reorganises management of investment bank	The British lender said in a statement that it had appointed Eric Felder as head of markets, a position that gives him supervision of the investment bank's global sales and trading businesses across all asset classes.	JOB
BlackBerry's meltdown sparks start-up boom in Canada's Silicon Valley	BlackBerry's meltdown sparks start-up boom in Canada's Silicon Valley  (Reuters) - The troubles at BlackBerry Ltd, which fired more than half its staff and lost more than 90 percent of its market value as consumers shunned its smart phones, might have spelled disaster for the company's hometown of Waterloo, Ontario.	JOB
WRAPUP 3-World mourns Steve Jobs; Apple shares edge higher	He stepped down as Apple chief executive in August.	JOB
WRAPUP 3-World mourns Steve Jobs; Apple shares edge higher	But his health deteriorated rapidly over the past several years, and after two temporary leaves of absence he stepped down as CEO and became Apple's chairman in August.	JOB
INSIGHT-ECB hardliner Weidmann comes in from the cold as deflation threatens	Despite the precedent, Weidmann's predecessor, Axel Weber, resigned in 2011 in protest at a previous ECB bond-buying plan - the Securities Markets Programme (SMP), which he saw as financing governments.	JOB
Barclays reorganises management of investment bank	The British lender said in a statement that it had appointed Eric Felder as head of markets, a position that gives him supervision of the investment bank's global sales and trading businesses across all asset classes.	JOB
Veteran Apple Designer Greg Christie Departs As Jony Ive’s Role Grows	“Greg has been planning to retire later this year after nearly 20 years at Apple,” an Apple spokesperson told TechCrunch in a statement.	JOB
Apple Poaches Amazon A9 Search Exec For Maps And App Store Search Improvements	The job change is… Read More  Apple has hired away a former Vice President of Search Technology from Amazon, according to 9to5Mac.	JOB
Work4 Raises $7M To Rival Job Sites With Its Social Network-Based Recruitment App	In the area of recruitment, Facebook has actually made a move: it acqui-hired the co-founders of Pursuit, a social network-based recruiting service, back in 2011.	JOB
Facebook Could Use Money Transfers To Extend WhatsApp And Non-Ad Revenue	The FT reports that, among the different scenarios, Facebook offered to pay Azimo $10 million to recruit a co-founder as a director of business development.	JOB
Zynga Names David Lee CFO, As Longtime Exec Mark Vranesh Departs The Firm	Zynga Names David Lee CFO, As Longtime Exec Mark Vranesh Departs The Firm   Today after the bell, Zynga announced that its CFO and CAO Mark Vranesh will depart the firm after six years, and that David Lee will assume both roles effective April 14.	JOB
